Data,Mandante,Hor/Res,Visitante,Fase,Torneio,Campo,Pontos Mandante,Pontos Visitante,Vencedor,Defensor do Título
2008-10-25 14:00:00,Brown Spiders,33 - 10,Coritiba Crocodiles,,Amistoso,,33,10,Brown Spiders, - 
2009-08-07 14:00:00,JEC Gladiators,08 - 21,Brown Spiders,,Torneio Touchdown 2009,,8,21,Brown Spiders,Brown Spiders
2009-08-22 14:00:00,Brown Spiders,20 - 23,Coritiba Crocodiles,,Torneio Touchdown 2009,,20,23,Coritiba Crocodiles,Brown Spiders
2009-09-12 14:00:00,Coritiba Crocodiles,31 - 21,JEC Gladiators,,Torneio Touchdown 2009,,31,21,Coritiba Crocodiles,Coritiba Crocodiles
2009-10-11 14:00:00,Coritiba Crocodiles,12 - 20,Brown Spiders,,Torneio Touchdown 2009,,12,20,Brown Spiders,Coritiba Crocodiles
2009-11-07 14:00:00,Brown Spiders,00 - 12,JEC Gladiators,,Torneio Touchdown 2009,,0,12,JEC Gladiators,Brown Spiders
2009-11-10 14:00:00,Istepôs FA,00 - 28,JEC Gladiators,,Campeonato Catarinense 2009,,0,28,JEC Gladiators,JEC Gladiators
2009-11-15 14:00:00,JEC Gladiators,41 - 06,Brusque Admirals,,Campeonato Catarinense 2009,,41,6,JEC Gladiators,JEC Gladiators
2009-12-12 14:00:00,JEC Gladiators,21 - 14,Istepôs FA,,Campeonato Catarinense 2009,,21,14,JEC Gladiators,JEC Gladiators
2010-04-07 14:00:00,JEC Gladiators,21 - 16,Jaraguá Breakers,,Campeonato Catarinense 2010,,21,16,JEC Gladiators,JEC Gladiators
2010-05-02 14:00:00,JEC Gladiators,51 - 06,Corupá Buffalos,,Campeonato Catarinense 2010,,51,6,JEC Gladiators,JEC Gladiators
2010-05-15 14:00:00,Jaraguá Breakers,07 - 54,JEC Gladiators,,Campeonato Catarinense 2010,,7,54,JEC Gladiators,JEC Gladiators
2010-05-23 14:00:00,Timbó Rex,00 - 28,JEC Gladiators,,Campeonato Catarinense 2010,,0,28,JEC Gladiators,JEC Gladiators
2010-05-30 14:00:00,JEC Gladiators,81 - 00,Tubarão Predadores,,Campeonato Catarinense 2010,,81,0,JEC Gladiators,JEC Gladiators
2010-06-13 14:00:00,Corupá Buffalos,14 - 35,JEC Gladiators,,Campeonato Catarinense 2010,,14,35,JEC Gladiators,JEC Gladiators
2010-06-27 14:00:00,JEC Gladiators,27 - 00,Timbó Rex,,Campeonato Catarinense 2010,,27,0,JEC Gladiators,JEC Gladiators
2010-07-10 14:00:00,Blumenau Riesen,00 - 33,JEC Gladiators,,Campeonato Catarinense 2010,,0,33,JEC Gladiators,JEC Gladiators
2010-08-01 14:00:00,JEC Gladiators,12 - 00,Timbó Rex,,Campeonato Catarinense 2010,,12,0,JEC Gladiators,JEC Gladiators
2010-08-15 14:00:00,JEC Gladiators,20 - 07,Istepôs FA,,Campeonato Catarinense 2010,,20,7,JEC Gladiators,JEC Gladiators
2010-08-21 14:00:00,Timbó Rex,27 - 34,JEC Gladiators,,Liga Brasileira 2010,Timbó/SC,27,34,JEC Gladiators,JEC Gladiators
2010-09-11 14:00:00,Coritiba Crocodiles,35 - 08,JEC Gladiators,,Liga Brasileira 2010,Balsa Nova/PR,35,8,Coritiba Crocodiles,JEC Gladiators
2010-10-09 14:00:00,Timbó Rex,00 - 49,Coritiba Crocodiles,,Liga Brasileira 2010,Timbó/SC,0,49,Coritiba Crocodiles,Coritiba Crocodiles
