Nome,URL da Imagem,Sede,Cor Primária,URL,Estado,Regiao
Amazon Black Hawks,https://www.salaooval.com.br/wp-content/uploads/2016/07/am_amazon_black_hawks-1.png,,#010101,https://www.salaooval.com.br/equipe/amazon-black-hawks/,,
América Big Riders,https://www.salaooval.com.br/wp-content/uploads/2017/07/rj_america_big_riders.png,,#d80137,https://www.salaooval.com.br/equipe/america-big-riders/,,
América Locomotiva,https://www.salaooval.com.br/wp-content/uploads/2017/12/mg_america_locomotiva.png,Belo Horizonte/MG,#066b3b,https://www.salaooval.com.br/times/america-locomotiva/,MG,sudeste
Aracaju Alfa,https://www.salaooval.com.br/wp-content/uploads/2016/05/se_aracaju_alfas.png,,#010204,https://www.salaooval.com.br/equipe/aracaju-alfa/,,
Araçatuba Touros,https://www.salaooval.com.br/wp-content/uploads/2017/08/sp_aracatuba_touros.png,Araçatuba/SP,#030304,https://www.salaooval.com.br/times/aracatuba-touros/,SP,sudeste
Arcoverde Templários,https://www.salaooval.com.br/wp-content/uploads/2016/05/pe_arcoverde_templarios-1.png,Arcoverde/PE,#15382f,https://www.salaooval.com.br/times/arcoverde-templarios/,PE,nordeste
Porto Alegre Pumpkins,https://www.salaooval.com.br/wp-content/uploads/2016/05/rs_porto_alegre_pumpkins.png,Porto Alegre/RS,#462d1d,https://www.salaooval.com.br/times/porto-alegre-pumpkins/,RS,sul
Bangu Castores,https://www.salaooval.com.br/wp-content/uploads/2019/06/rj_bangu_castores.png,,#712b15,https://www.salaooval.com.br/equipe/bangu-castores/,,
Barões de Ribeirão Preto,https://www.salaooval.com.br/wp-content/uploads/2016/10/sp_baroes_ribeirao_preto.png,,#030105,https://www.salaooval.com.br/equipe/baroes-de-ribeirao-preto/,,
Barueri Guardians,https://www.salaooval.com.br/wp-content/uploads/2018/04/sp_barueri_guardians-1.png,,#010100,https://www.salaooval.com.br/equipe/barueri-guardians/,,
Belém Titans,https://www.salaooval.com.br/wp-content/uploads/2016/08/pa_belem_titans.png,Belém/PA,#c80000,https://www.salaooval.com.br/times/belem-titans/,PA,norte
Bento Gonçalves Snakes,https://www.salaooval.com.br/wp-content/uploads/2016/05/rs_bento_goncalves_snakes.png,,#00b53b,https://www.salaooval.com.br/equipe/bento-goncalves-snakes/,,
Cruzeiro FA,https://www.salaooval.com.br/wp-content/uploads/2021/10/mg_cruzeiro.png,Betim/MG,#003b92,https://www.salaooval.com.br/times/cruzeiro_fa/,MG,sudeste
Gaspar Black Hawks,https://www.salaooval.com.br/wp-content/uploads/2018/12/sc_black_hawks_alt_2.png,Gaspar/SC,#040405,https://www.salaooval.com.br/times/black-hawks/,SC,sul
Blaze FA,https://www.salaooval.com.br/wp-content/uploads/2016/05/rj_blaze_fa.png,Rio de Janeiro/RJ,#fcde00,https://www.salaooval.com.br/times/blaze-fa/,RJ,sudeste
Blumenau Vikings,https://www.salaooval.com.br/wp-content/uploads/2019/02/sc_blumenau_vikings-1.png,,#432827,https://www.salaooval.com.br/equipe/blumenau-vikings/,,
Boa Vista Nordics,https://www.salaooval.com.br/wp-content/uploads/2017/02/rr_boa_vista_nordics.png,,#1e1c1d,https://www.salaooval.com.br/equipe/boa-vista-nordics/,,
Brasília Pilots,https://www.salaooval.com.br/wp-content/uploads/2016/07/df_brasilia_pilots-1.png,,#5e1d1f,https://www.salaooval.com.br/equipe/brasilia-pilots/,,
