Data,Mandante,Hor/Res,Visitante,Liga,Fase,Unnamed: 6,Torneio,Campo
2026-07-11 00:00:00,Porto Velho Miners,00:00:0000:00,São Raimundo C. Cavaliers,Superliga D1,,,superliga-2026,
2026-07-11 00:00:00,Tubarões do Cerrado,24 - 00,Goiás FA,Superliga D1,,,superliga-2026,
2026-07-18 00:00:00,Brown Spiders,00:00:0000:00,Londrina Bristlebacks,Superliga D1,,,superliga-2026,
2026-07-18 09:00:00,Bravos FA,25 - 26,Santa Maria Soldiers,Superliga D1,,,superliga-2026,
2026-07-18 10:00:00,Curitiba Phoenix,06 - 18,Brasília Pilots,Superliga Feminina,,,superliga-2026,
2026-07-18 10:00:00,Erechim Coroados,28 - 07,Bears FA,Superliga D2,,,superliga-2026,
2026-07-18 10:00:00,Chape FA,00 - 32,Cascavel Olympians,Superliga D2,,,superliga-2026,
2026-07-18 10:00:00,Vikings FA,40 - 10,Corinthians Steamrollers,Superliga D2,,,superliga-2026,
2026-07-18 11:00:00,Lusa Jaguars,00 - 26,Curitiba Silverhawks,Superliga Feminina,,,superliga-2026,
2026-07-18 14:00:00,João Pessoa Espectros,11 - 28,Recife Mariners,Superliga D1,,,superliga-2026,
2026-07-18 14:00:00,Ocelots FA,54 - 00,Flamengo Imperadores,Superliga D1,,,superliga-2026,
2026-07-18 14:00:00,Guarulhos Rhynos,30 - 14,Vasco Almirantes,Superliga D1,,,superliga-2026,
2026-07-18 14:00:00,Juventude FA,00 - 21,T-Rex,Superliga D1,,,superliga-2026,
2026-07-18 14:00:00,Coritiba Crocodiles,28 - 00,Istepôs FA,Superliga D1,,,superliga-2026,
2026-07-18 15:00:00,Cuiabá Arsenal,07 - 41,Rondonópolis Hawks,Superliga D1,,,superliga-2026,
2026-07-18 16:00:00,Caruaru Wolves,14 - 41,Cavalaria 2 de Julho,Superliga D1,,,superliga-2026,
2026-07-19 09:00:00,Caucaia Sabres,06 - 34,Fortaleza Tritões,Superliga D1,,,superliga-2026,
2026-07-19 10:00:00,Spartans Football,00 - 31,Locomotiva FA,Superliga D1,,,superliga-2026,
2026-07-19 14:00:00,Spartans Football 2,14:00:0014:00,Caniballs Football,Superliga D2,,,superliga-2026,
2026-08-01 00:00:00,Manaus FA,00:00:0000:00,São Raimundo C. Cavaliers,Superliga D1,,,superliga-2026,
2026-08-01 00:00:00,Vasco Almirantes,00:00:0000:00,Spartans Football,Superliga D1,,,superliga-2026,
2026-08-01 00:00:00,Londrina Bristlebacks,00:00:0000:00,Coritiba Crocodiles,Superliga D1,,,superliga-2026,
2026-08-01 14:00:00,Locomotiva FA,48 - 00,Ocelots FA,Superliga D1,,,superliga-2026,
2026-08-01 14:00:00,Cuiabá Arsenal,00 - 14,Goiás FA,Superliga D1,,,superliga-2026,
2026-08-01 14:00:00,Coritiba Crocodiles B,14 - 09,JEC Gladiators,Superliga D2,,,superliga-2026,
2026-08-01 14:00:00,Tritões FA,19 - 20,Macaé Oilers,Superliga D2,,,superliga-2026,
2026-08-01 14:00:00,Arapongas Golden Phoenix,28 - 06,Maringá Pyros,Superliga D2,,,superliga-2026,
2026-08-01 14:30:00,Galo FA,55 - 00,Flamengo Imperadores,Superliga D1,,,superliga-2026,
2026-08-01 15:45:00,T-Rex,40 - 07,Santa Maria Soldiers,Superliga D1,,,superliga-2026,
2026-08-01 18:00:00,Corinthians Steamrollers,12 - 23,Caniballs Football,Superliga D2,,,superliga-2026,
2026-08-01 18:30:00,Cruzeiro FA,06 - 00,Gama Leões de Judá,Superliga D2,,,superliga-2026,
2026-08-02 00:00:00,Underdogs FA,00:00:0000:00,Bears FA,Superliga D2,,,superliga-2026,
2026-08-02 09:00:00,Tubarões do Cerrado,06 - 43,Rondonópolis Hawks,Superliga D1,,,superliga-2026,
2026-08-02 09:00:00,Brown Spiders 2,20 - 08,Curitiba Lions,Superliga D2,,,superliga-2026,
2026-08-02 10:00:00,Cavalaria 2 de Julho,50 - 15,Fortaleza Tritões,Superliga D1,,,superliga-2026,
2026-08-02 10:00:00,Tatuapé Monsters,33 - 35,Vikings FA,Superliga D2,,,superliga-2026,
2026-08-02 14:00:00,Recife Mariners,55 - 07,Caucaia Sabres,Superliga D1,,,superliga-2026,
2026-08-02 14:00:00,João Pessoa Espectros,20 - 36,Caruaru Wolves,Superliga D1,,,superliga-2026,
2026-08-02 14:00:00,Juventude FA,28 - 13,Bravos FA,Superliga D1,,,superliga-2026,
2026-08-02 14:00:00,Calvary Cavaliers,14 - 32,Ponta Grossa Phantoms,Superliga D2,,,superliga-2026,
No data available i,No data available in table,No data available in table,No data available in table,No data available in table,No data available in table,No data available in table,superliga-2026,
2026-07-11 00:00:00,Porto Velho Miners,00:00:0000:00,São Raimundo C. Cavaliers,Superliga D1,,,superliga-2026,
2026-07-11 00:00:00,Tubarões do Cerrado,24 - 00,Goiás FA,Superliga D1,,,superliga-2026,
2026-07-18 00:00:00,Brown Spiders,00:00:0000:00,Londrina Bristlebacks,Superliga D1,,,superliga-2026,
2026-07-18 09:00:00,Bravos FA,25 - 26,Santa Maria Soldiers,Superliga D1,,,superliga-2026,
2026-07-18 10:00:00,Curitiba Phoenix,06 - 18,Brasília Pilots,Superliga Feminina,,,superliga-2026,
2026-07-18 10:00:00,Erechim Coroados,28 - 07,Bears FA,Superliga D2,,,superliga-2026,
2026-07-18 10:00:00,Chape FA,00 - 32,Cascavel Olympians,Superliga D2,,,superliga-2026,
2026-07-18 10:00:00,Vikings FA,40 - 10,Corinthians Steamrollers,Superliga D2,,,superliga-2026,
2026-07-18 11:00:00,Lusa Jaguars,00 - 26,Curitiba Silverhawks,Superliga Feminina,,,superliga-2026,
2026-07-18 14:00:00,João Pessoa Espectros,11 - 28,Recife Mariners,Superliga D1,,,superliga-2026,
2026-07-18 14:00:00,Ocelots FA,54 - 00,Flamengo Imperadores,Superliga D1,,,superliga-2026,
2026-07-18 14:00:00,Guarulhos Rhynos,30 - 14,Vasco Almirantes,Superliga D1,,,superliga-2026,
2026-07-18 14:00:00,Juventude FA,00 - 21,T-Rex,Superliga D1,,,superliga-2026,
2026-07-18 14:00:00,Coritiba Crocodiles,28 - 00,Istepôs FA,Superliga D1,,,superliga-2026,
2026-07-18 15:00:00,Cuiabá Arsenal,07 - 41,Rondonópolis Hawks,Superliga D1,,,superliga-2026,
2026-07-18 16:00:00,Caruaru Wolves,14 - 41,Cavalaria 2 de Julho,Superliga D1,,,superliga-2026,
2026-07-19 09:00:00,Caucaia Sabres,06 - 34,Fortaleza Tritões,Superliga D1,,,superliga-2026,
2026-07-19 10:00:00,Spartans Football,00 - 31,Locomotiva FA,Superliga D1,,,superliga-2026,
2026-07-19 14:00:00,Spartans Football 2,14:00:0014:00,Caniballs Football,Superliga D2,,,superliga-2026,
2026-08-01 00:00:00,Manaus FA,00:00:0000:00,São Raimundo C. Cavaliers,Superliga D1,,,superliga-2026,
2026-08-01 00:00:00,Vasco Almirantes,00:00:0000:00,Spartans Football,Superliga D1,,,superliga-2026,
2026-08-01 00:00:00,Londrina Bristlebacks,00:00:0000:00,Coritiba Crocodiles,Superliga D1,,,superliga-2026,
2026-08-01 14:00:00,Locomotiva FA,48 - 00,Ocelots FA,Superliga D1,,,superliga-2026,
2026-08-01 14:00:00,Cuiabá Arsenal,00 - 14,Goiás FA,Superliga D1,,,superliga-2026,
2026-08-01 14:00:00,Coritiba Crocodiles B,14 - 09,JEC Gladiators,Superliga D2,,,superliga-2026,
