Nome,URL da Imagem,Sede,Cor Primária,URL
Brown Spiders 2,https://www.salaooval.com.br/wp-content/uploads/2026/07/pr_brown_spiders_2.png,,#e94e13,https://www.salaooval.com.br/equipe/brown-spiders-2/
Underdogs FA,https://www.salaooval.com.br/wp-content/uploads/2016/12/rs_porto_alegre_gorillas-1.png,,#2d044d,https://www.salaooval.com.br/equipe/underdogs-fa/
Goiás FA,https://www.salaooval.com.br/wp-content/uploads/2026/07/go_goias_fa.png,,#0e4b24,https://www.salaooval.com.br/equipe/goias-fa/
Guarulhos Rhynos 2,https://www.salaooval.com.br/wp-content/uploads/2026/03/sp_guarulhos_rhynos_2.png,,#fc3d00,https://www.salaooval.com.br/equipe/guarulhos-rhynos-2/
Jacareí Red Wolves,https://www.salaooval.com.br/wp-content/uploads/2026/03/sp_jacarei_red_wolves.png,,#d11824,https://www.salaooval.com.br/equipe/jacarei-red-wolves/
Corinthians Steamrollers 2,https://www.salaooval.com.br/wp-content/uploads/2016/05/sp_corinthians_steamrollers-1.png,,#ec2f21,https://www.salaooval.com.br/equipe/corinthians-steamrollers-2/
Spartans Football 2,https://www.salaooval.com.br/wp-content/uploads/2026/03/sp_six_spartans.png,,#fd0000,https://www.salaooval.com.br/equipe/spartans-football-2/
Curitiba Phoenix,https://www.salaooval.com.br/wp-content/uploads/2025/07/pr_curitiba_phoenix.png,,#fb1a00,https://www.salaooval.com.br/equipe/curitiba-phoenix/
São Bernardo Avengers,https://www.salaooval.com.br/wp-content/uploads/2018/06/sp_sao_bernardo_avengers-1.png,,#f0fc00,https://www.salaooval.com.br/equipe/sao-bernardo-avengers/
Krakens Football,https://www.salaooval.com.br/wp-content/uploads/2025/03/sp_krakens_football.png,,#030404,https://www.salaooval.com.br/equipe/krakens-football/
Forgeds Tigres,https://www.salaooval.com.br/wp-content/uploads/2025/03/mg_tigres_forged.png,,#f0bd0d,https://www.salaooval.com.br/equipe/forgeds-tigres/
Calvary Cavaliers,https://www.salaooval.com.br/wp-content/uploads/2025/03/pr_calvary_cavaliers.png,,#4c2581,https://www.salaooval.com.br/equipe/calvary-cavaliers/
Soldiers Avengers,https://www.salaooval.com.br/wp-content/uploads/2016/06/sp_osasco_soldiers.png,,#fac90a,https://www.salaooval.com.br/equipe/soldiers-avengers/
Coritiba Crocodiles B,https://www.salaooval.com.br/wp-content/uploads/2016/05/pr_coritiba_crocodiles-1.png,,#1a7267,https://www.salaooval.com.br/equipe/coritiba-crocodiles-b/
Arapongas Golden Phoenix,https://www.salaooval.com.br/wp-content/uploads/2024/08/pr_arapongas_golden_phoenix.png,,#f5c63b,https://www.salaooval.com.br/equipe/arapongas-golden-phoenix/
Bravos FA,https://www.salaooval.com.br/wp-content/uploads/2024/07/rs_bravos_fa.png,,#d89933,https://www.salaooval.com.br/equipe/bravos-fa/
Goianos FA,https://www.salaooval.com.br/wp-content/uploads/2024/07/go_goianos_fa-1.png,,#fddc00,https://www.salaooval.com.br/equipe/goianos-fa/
Colombia,https://www.salaooval.com.br/wp-content/uploads/2024/07/colombia.png,,#f5c305,https://www.salaooval.com.br/equipe/colombia/
Bears FA,https://www.salaooval.com.br/wp-content/uploads/2024/02/rs_bears_fa.png,,#e83237,https://www.salaooval.com.br/equipe/bears-fa/
Matilha dos Vales,https://www.salaooval.com.br/wp-content/uploads/2024/02/rs_matilha_do_vale.png,,#e30526,https://www.salaooval.com.br/equipe/matilha-dos-vales/
Avaré Lions,https://www.salaooval.com.br/wp-content/uploads/2024/02/sp_avare_lions.png,,#e34d17,https://www.salaooval.com.br/equipe/avare-lions/
Vikings Berserker,https://www.salaooval.com.br/wp-content/uploads/2024/02/sp_vikings_berserker.png,,#711626,https://www.salaooval.com.br/equipe/vikings-berserker/
Lusa Jaguars,https://www.salaooval.com.br/wp-content/uploads/2023/08/sp_lusa_jaguars.png,,#0f7b05,https://www.salaooval.com.br/equipe/lusa-jaguars/
Flamengo Imperatrizes,https://www.salaooval.com.br/wp-content/uploads/2020/03/rj_flamengo_imperadores.png,,#e32317,https://www.salaooval.com.br/equipe/flamengo-imperatrizes/
Black Panthers Football,https://www.salaooval.com.br/wp-content/uploads/2023/08/sp_black_panthers-1.png,,#004be3,https://www.salaooval.com.br/equipe/black-panthers-football/
Recife Imortais,https://www.salaooval.com.br/wp-content/uploads/2023/06/pe_santa_cruz_imortais.png,,#162037,https://www.salaooval.com.br/equipe/recife-imortais/
Lisboa Navigators,https://www.salaooval.com.br/wp-content/uploads/2023/03/pt_lisboa_navigators.png,,#1a1818,https://www.salaooval.com.br/equipe/lisboa-navigators/
Salgueiros Renegades,https://www.salaooval.com.br/wp-content/uploads/2023/03/pt_salgueiros_renegades.png,,#cc2f11,https://www.salaooval.com.br/equipe/salgueiros-renegades/
Lisboa Devils,https://www.salaooval.com.br/wp-content/uploads/2023/03/pt_lisboa_devils.png,,#8a151a,https://www.salaooval.com.br/equipe/lisboa-devils/
